name,chr,start,end,score
Ubn1_1,chr1,3981585.0,3982631.0,89.65
Ubn1_2,chr1,3982664.0,3983477.0,68.71
Ubn1_3,chr1,4770077.0,4771111.0,60.72
Ubn1_4,chr1,4773318.0,4774133.0,87.47
Ubn1_5,chr1,4774278.0,4776007.0,90.96
Ubn1_6,chr1,4780432.0,4781315.0,70.99
Ubn1_7,chr1,4781752.0,4782925.0,67.16
Ubn1_8,chr1,4822962.0,4823629.0,57.02
Ubn1_9,chr1,4830533.0,4832842.0,200.89
Ubn1_10,chr1,4874811.0,4875687.0,56.24
Ubn1_11,chr1,4903922.0,4904711.0,52.65
Ubn1_12,chr1,5461299.0,5462120.0,104.39
Ubn1_13,chr1,6448829.0,6449545.0,57.15
Ubn1_14,chr1,6984324.0,6985244.0,94.58
Ubn1_15,chr1,7060432.0,7061426.0,132.46
Ubn1_16,chr1,7068265.0,7069640.0,163.57
Ubn1_17,chr1,7122177.0,7122929.0,70.63
Ubn1_18,chr1,7129087.0,7129910.0,86.86
Ubn1_19,chr1,7297324.0,7298389.0,79.37
Ubn1_20,chr1,7298854.0,7300025.0,178.46
Ubn1_21,chr1,7497334.0,7498377.0,75.32
Ubn1_22,chr1,7498647.0,7499546.0,86.03
Ubn1_23,chr1,7671275.0,7672601.0,142.77
Ubn1_24,chr1,8094489.0,8095229.0,64.78
Ubn1_25,chr1,10032727.0,10033370.0,56.36
Ubn1_26,chr1,11745101.0,11745705.0,51.51
Ubn1_27,chr1,12022322.0,12023329.0,95.94
Ubn1_28,chr1,12574101.0,12574834.0,62.06
Ubn1_29,chr1,13010610.0,13011527.0,71.78
Ubn1_30,chr1,13050712.0,13051688.0,81.5
Ubn1_31,chr1,13068969.0,13069817.0,59.33
Ubn1_32,chr1,13071810.0,13072669.0,92.93
Ubn1_33,chr1,13073609.0,13074347.0,57.6
Ubn1_34,chr1,13079031.0,13080426.0,87.43
Ubn1_35,chr1,13107244.0,13108329.0,95.02
Ubn1_36,chr1,13130381.0,13131067.0,54.44
Ubn1_37,chr1,13131245.0,13131978.0,63.43
Ubn1_38,chr1,13132070.0,13132804.0,77.7
Ubn1_39,chr1,13143819.0,13144592.0,62.59
Ubn1_40,chr1,13153234.0,13153989.0,54.06
Ubn1_41,chr1,13222525.0,13223113.0,53.99
Ubn1_42,chr1,13505930.0,13506985.0,80.82
Ubn1_43,chr1,13507183.0,13508067.0,76.74
Ubn1_44,chr1,13624150.0,13624748.0,52.43
Ubn1_45,chr1,13628011.0,13628709.0,52.47
Ubn1_46,chr1,13663645.0,13664728.0,103.19
Ubn1_47,chr1,13664760.0,13665978.0,97.21
Ubn1_48,chr1,14734143.0,14735252.0,123.32
Ubn1_49,chr1,14756559.0,14757293.0,51.03
Ubn1_50,chr1,15172558.0,15173251.0,53.18
Ubn1_51,chr1,15812683.0,15814340.0,154.66
Ubn1_52,chr1,15865866.0,15866563.0,60.0
Ubn1_53,chr1,16099703.0,16100960.0,105.42
Ubn1_54,chr1,16823843.0,16824529.0,54.19
Ubn1_55,chr1,17540207.0,17540847.0,65.29
Ubn1_56,chr1,20773626.0,20774803.0,111.41
Ubn1_57,chr1,23903274.0,23903810.0,54.56
Ubn1_58,chr1,30413279.0,30414336.0,111.74
Ubn1_59,chr1,30526269.0,30527013.0,64.16
Ubn1_60,chr1,30805284.0,30806409.0,88.88
Ubn1_61,chr1,30819567.0,30819998.0,56.63
Ubn1_62,chr1,33758290.0,33759026.0,61.6
Ubn1_63,chr1,33963219.0,33964304.0,78.21
Ubn1_64,chr1,34004731.0,34005747.0,98.91
Ubn1_65,chr1,34007508.0,34008216.0,61.77
Ubn1_66,chr1,34037938.0,34038940.0,92.81
Ubn1_67,chr1,34059294.0,34060046.0,66.08
Ubn1_68,chr1,34074745.0,34075365.0,68.78
Ubn1_69,chr1,34077466.0,34078379.0,61.61
Ubn1_70,chr1,34102480.0,34103223.0,53.31
Ubn1_71,chr1,34167495.0,34168218.0,59.81
Ubn1_72,chr1,34199503.0,34201251.0,73.06
Ubn1_73,chr1,34216917.0,34217650.0,58.33
Ubn1_74,chr1,34435714.0,34436576.0,52.52
Ubn1_75,chr1,34437170.0,34437988.0,71.74
Ubn1_76,chr1,34443586.0,34445411.0,158.55
Ubn1_77,chr1,34446224.0,34447127.0,85.37
Ubn1_78,chr1,35114516.0,35116686.0,433.58
Ubn1_79,chr1,35194416.0,35195317.0,97.94
Ubn1_80,chr1,35219193.0,35220350.0,118.88
Ubn1_81,chr1,35286827.0,35287553.0,55.7
Ubn1_82,chr1,36042065.0,36043261.0,154.6
Ubn1_83,chr1,36043499.0,36044614.0,90.37
Ubn1_84,chr1,36058965.0,36059716.0,74.07
Ubn1_85,chr1,36059765.0,36060894.0,84.62
Ubn1_86,chr1,36061559.0,36062403.0,71.52
Ubn1_87,chr1,36083329.0,36084727.0,50.87
Ubn1_88,chr1,36089001.0,36090813.0,108.41
Ubn1_89,chr1,36149841.0,36151109.0,80.67
Ubn1_90,chr1,36239609.0,36240978.0,85.56
Ubn1_91,chr1,36260315.0,36261230.0,68.39
Ubn1_92,chr1,36518260.0,36519196.0,73.92
Ubn1_93,chr1,36524299.0,36525726.0,86.07
Ubn1_94,chr1,36540291.0,36541191.0,80.18
Ubn1_95,chr1,36613233.0,36613937.0,57.23
